"spelling.errors","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"paraphenalia","paraphernalia","paraplegia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"medicene","medicine","comedienne","medic","icemen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"punture","puncture","punter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sterlized","sterilized","sterilizer","sterilize","stylized",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wantful","untactful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"unwealthy","unhealthy","wealthy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"slavation","salvation","salivation","translation","isolation","titivation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"impovished","impoverished","impoverish","improvised",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"unsatisfy","unsatisfying","unsatisfied","satisfy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"questioncommand","question command","question-command","questionnaire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"unmotivating","motivating","unmotivated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"integars","integers","integrates","interstate","inters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pesamistic","pessimistic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"unoptimistic","optimistic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"inprovement","improvement","prominent","overprint",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"celcius","delicious",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pooper","popper","poorer","proper","cooper","pooped","Cooper","Hooper","poo per","poo-per","poop er","poop-er","trooper","popover","roper","pope"
"pesimistic","pessimistic","pessimist","optimistic","simplistic","pessimism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"peopleand","people and","people-and","peopled",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ignoringnot","ignoring not","ignoring-not","signorina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"humansanimals","humans animals","humans-animals","humanitarians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nextnear","next near","next-near","nearness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"garag","garage","ragga","raga","agar","gar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"culdesac","cultured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"housesm","houses","houses m","house",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stree","steer","strew","tree","street","trees","scree","strep","spree","s tree","stress",NA,NA,NA,NA,NA
"homebase","home base","home-base","homeboy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"smal","slam","small","seal","dismal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"familes","families","famines","fa miles","fa-miles","facsimiles","misfiles","miles",NA,NA,NA,NA,NA,NA,NA,NA
"bq","b","q","be","sq","bi","bl","bu","by","bf","bk","Sq","BBQ",NA,NA,NA
"neice","niece","nice","deice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"neese","geese","Reese","nemeses","NeWSes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sibing","sibling","siring","siting","siding","gibing","sizing","singing","sinning","singling","singeing",NA,NA,NA,NA,NA
"brotherbrother","brother brother","brother-brother","brotherhood","stepbrother",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sisterbrother","sister brother","sister-brother","stepbrother",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sistersbrothers","sisters brothers","sisters-brothers","stepbrothers","stepbrother",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sibiling","sibling","singling","billing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"populardoesnt","popularization",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bowties","booties","bow ties","bow-ties","bowlines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"clumsey","clumsy","clumsily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dnb","db","deb","dab","dob","dub","DNA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"actiom","action",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"neuroenergy","neurosurgery","neurology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"neuro","euro","neuron","negro","n euro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acetylcholine","oxyacetylene",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nervosa","nervous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"naseous","nauseous","gaseous","nacreous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anxiouseager","anxious eager","anxious-eager","overanxious",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"twitcy","twitchy","twitch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sakes","sales","sake","snakes","stakes","slakes","shakes","sake's","rakes","sates","takes","lakes","cakes","sades","sages","sames"
"sweatying","sweating","swearing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"shacky","shack","shaky","shacks","shack y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anixous","anxious","unanimous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"indivual","individual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"realates","relates","reflates","laureates","retaliates","regulates","escalates",NA,NA,NA,NA,NA,NA,NA,NA,NA
"beingemotion","being emotion","being-emotion","emotionalism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anxcious","anxious",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anixity","inanity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"safetynet","safety net","safety-net","safety",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"netonlineinternet","intercontinental",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sumtotal","subtotal","sum total","sum-total","teetotal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"takehome","take home","take-home","homemaker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"openmeshed","op enmeshed","op-enmeshed","open meshed","open-meshed","enmeshed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"partnerspeople","partners people","partners-people","sportspeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"attoms","atoms","at toms","at-toms","atom","tomato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"efects","defects","effects","erects","elects","prefects","effect","affects",NA,NA,NA,NA,NA,NA,NA,NA
"sience","since","silence","science","sixpence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"impulseconducting","impulse conducting","impulse-conducting","semiconducting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dentries","sentries","entries","gentries","d entries","den tries","den-tries","detriments","tridents","dendrites","strident",NA,NA,NA,NA,NA
"bons","nobs","bins","bobs","bond","bones","boons","bonds","bonus","bongs","bonks","bone","eons","boss","sons","ions"
"neervous","nervous","onerous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"myelinated","eliminated","eliminate","datelined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sciene","scene","science","scientist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nickelodion","nickelodeon","melodiousness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"neurtal","neutral","neural","neuronal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nickolodeon","nickelodeon","philodendron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"phychology","psychology","physiology","phonology","philology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jaheim","atheism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"expeected","expected","expectorated","expedited","expedite","expect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absolutley","absolutely","absolute",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"neverland","never land","never-land","overland","lavender",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nonexisitant","nonexistent","nonresistant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aboslutely","absolutely","elaborately",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"forbiden","forbidden","forbid en","forbid-en","forbid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"heppen","happen","hepper","hempen","hep pen","hep-pen","nepenthe","peahen",NA,NA,NA,NA,NA,NA,NA,NA
"freshlymade","freshly made","freshly-made","freshman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"unaged","unwaged","nagged",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cealed","ceased","sealed","coaled","celled","pealed","healed","concealed","called",NA,NA,NA,NA,NA,NA,NA
"newfresh","new fresh","new-fresh","freshness","freshener",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"newan","new an","new-an","anew","wane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"newmodern","new modern","new-modern","modern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"newstill","new still","new-still","news till","news-till","stillness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fshionable","fashionable","fashionably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"factoryfresh","factory fresh","factory-fresh","refractory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"upto","unto","up to","up-to","uptown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"courant","currant","raconteur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brandnew","brand new","brand-new","branded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cuttingedge","cutting edge","cutting-edge","undercutting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"newspapersmagazines","newspapers magazines","newspapers-magazines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"everchanging","ever changing","ever-changing","interchanging","overcharging","overhanging","exchanging",NA,NA,NA,NA,NA,NA,NA,NA,NA
"storieshappenings","stories happenings","stories-happenings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hearread","hear read","hear-read","headgear","arrowhead","hardheaded","bareheaded",NA,NA,NA,NA,NA,NA,NA,NA,NA
"nonpersuasive","non persuasive","non-persuasive","unpersuasive","persuasiveness","persuasive","persuasion",NA,NA,NA,NA,NA,NA,NA,NA,NA
"hotline","hotlink","hot line","hot-line","outline",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"attenetion","attention","attenuation","attestation","penetration","enervation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anouncement","announcement","renouncement","denouncement","pronouncement","entrancement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eventd","events","event","vented","evened","event d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"recents","recent","resents","recants","relents","regents","repents","re cents","re-cents","recent s","crescents","precedents","recreants","cerements",NA,NA
"regionalized","rationalized","nationalized","regional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"upcomingevents","upcoming events","upcoming-events","contingents",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"whiteblack","white black","white-black","whitebait",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"advertisents","advertisements","advertisement","advertiser","advertises",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"smugdes","smudges","smuggles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aports","sports","ports","aborts","a ports","seaport","rapport",NA,NA,NA,NA,NA,NA,NA,NA,NA
"newswriters","news writers","news-writers","newsletters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"starkville","starless",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bethel","betel","bellwether",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fruitfilled","fruit filled","fruit-filled","fruitfulness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cookes","cooked","cooks","cokes","cookies","cookers","cooker","chokes","cook's","cook es","cook-es","cowpokes","convokes","coke",NA,NA
"sisystem","systemic","system",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"scintist","scientist","stint",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aswell","swell","a swell","as well","as-well","weasel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"scientiste","scientist","scientists","scientist e","scientific","antiscience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pawer","parer","rawer","power","paler","pacer","pawed","pager","paper","payer","paw er","paw-er",NA,NA,NA,NA
"scientis","scientist","scientific","antiscience","omniscient","sentient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"newtonnewton","newton newton","newton-newton","wantonness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meterkilogramsecond","electroencephalogram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mearns","means","earns","learns","yearns","m earns","menswear",NA,NA,NA,NA,NA,NA,NA,NA,NA
"renfrewshire","refreshing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ou","oi","o","u","sou","our","out","you","Lou","on","nu","or","cu","om","mu","op"
"personobject","person object","person-object","nonobjective",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"telivision","television","elision",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"inanimated","inanimate","in animated","in-animated","inanimate d","animated","intimated","incriminated","intimidated",NA,NA,NA,NA,NA,NA,NA
"nicepleasant","nice pleasant","nice-pleasant","pleasantness","pleasant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aggrible","gribble",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"charecter","character","charterer","charter","chatterer","chatter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"frinds","grinds","fronds","finds","rinds","friends","f rinds",NA,NA,NA,NA,NA,NA,NA,NA,NA
"verison","version","venison","prisoner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"junkin","junking","junkie","jun kin","jun-kin","junk in","junk-in","junk",NA,NA,NA,NA,NA,NA,NA,NA
"maryb","mammary","marry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"shortname","short name","short-name","shortness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"evie","eve","vie","evil","e vie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kk","kl","k","ks","kn","kt","kc","ck","kg","km","pk","bk","kw","wk","Gk","Mk"
"geepers","peepers","beepers","keepers","weepers","geezers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hoppy","hippy","choppy","soppy","happy","poppy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cancercausing","cancer causing","cancer-causing","incarcerating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"phototoxic","photo toxic","photo-toxic","phototropic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vasoconstrictor","vasoconstriction","constrictor","constriction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vasoconstrictive","vasoconstriction","nonconstructive","nonrestrictive","constructiveness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agnate","agate","magnate","stagnate","teenage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brotherinlaw","brotherliness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"crickeyts","crickets","rickets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cullens","cull ens","cull-ens","sullen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dard","dad","dared","dare","darn","dart","lard","card","hard","bard","yard","dark","ward","Ward","DAR","RDA"
"boogy","booty","boggy","booby","boozy","booger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"restsleep","rest sleep","rest-sleep","restless",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"heartrate","heart rate","heart-rate","heartbeat","hearten","heater",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"peopleplacesevents","congresspeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"drea","drear","dread","dream","read","dear","dare","area","urea","drew",NA,NA,NA,NA,NA,NA
"iiiiiiiii","xxxviii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ic","ix","iv","i","c","ice","sic","inc","tic","mic","pic","icy","Bic","Vic","is","ii"
"soilfertilizer","soil fertilizer","soil-fertilizer","fertilizer","fertilized",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"usessuch","uses such","uses-such","useless",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nitrous","nitro us","nitro-us","nitrogenous","nitro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aswer","answer","swear","aster",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"naw","wan","maw","nae","aw","gnaw","awn","new","saw","raw","now","law","caw","nag","nap","paw"
"disapointment","disappointment","disappointing","appointment's","appointment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"disstatify","dissertation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"happeneing","happening","appending",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dissapointment","disappointment","appointment's","disappointing","appointment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"disclipine","discipline","disciplinary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nonharmonious","non harmonious","non-harmonious","inharmonious","disharmonious","harmoniousness","harmonious",NA,NA,NA,NA,NA,NA,NA,NA,NA
"heared","haired","header","geared","heated","heard","hared","eared","sheared","seared","neared","hearer","reared","teared","healed","headed"
"decibals","decibels","decimals","decals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"polution","pollution","solution","involution","potion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rackety","racket","rackets","rickety","racket y","racetrack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"panging","paging","pranging","pinging","panning","ranging","panting","ponging","danging","ganging","hanging","banging","paneling","packaging","panicking","spangling"
"tumultuoustumultuous","tumultuous tumultuous","tumultuous-tumultuous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"unharmonious","inharmonious","harmonious","harmoniums",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"absouletely","absolutely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nonelective","non elective","non-elective","noneffective","nonelectric","nonobjective","connective",NA,NA,NA,NA,NA,NA,NA,NA,NA
"nonengagement","non engagement","non-engagement","engagement","engorgement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nonenterprising","non enterprising","non-enterprising","unenterprising","enterprising","misinterpreting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"neglectable","neglect able","neglect-able","connectable","electable","neglect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"somea","some","some a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alla","alley","all","calla","allay","alga","ally","Ella",NA,NA,NA,NA,NA,NA,NA,NA
"nonreal","non real","non-real","nonresidual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sensical","nonsensical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"unsensical","nonsensical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nonmethodical","non methodical","non-methodical","methodicalness","methodical","nonmetallic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gobblyguck","gobbledygook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"annies","nannies","fannies","beanies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eate","each","rate","eat","ate","eaten","eater","elate","eats","ease","sate","late","date","gate","mate","pate"
"linguinie","linguine","beguiling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tai","tie","tau","ta","ti","tail","tali","tan","tar","tat","tad","tag","tam","tap","tab","Mai"
"romin","rosin","roman","robin","bromine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cupanoodles","canoodles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rockin","rocking","rock in","rock-in","rockiness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ingrediants","ingredients","ingredient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carbohydratefilled","carbohydrate filled","carbohydrate-filled",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"delicioius","delicious","delirious",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kungpow","gunpowder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"spegetti","spaghetti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"slirp","slurp","slip",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"glutenfree","gluten free","gluten-free","glutenous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"parmeasan","pancreas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ramon","roman","Ramon","radon","rayon","Damon","ram on","ram-on","monogram",NA,NA,NA,NA,NA,NA,NA
"primilary","primarily","primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meatsveggies","meats veggies","meats-veggies","meatloaves",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"roun","run","round","roue","roan","noun","rout",NA,NA,NA,NA,NA,NA,NA,NA,NA
"spagettii","spaghetti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"itallian","litany",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"startch","starts","starch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cabohydrate","carbohydrate","hydrate's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"recipies","recopies","recipes","recipients","precipices","precises",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chinease","chin ease","chin-ease","cochineal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bowtie","bow tie","bow-tie","bowline",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lunchbreak","lunch break","lunch-break","unbreakable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nontaboo","non taboo","non-taboo","baboon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"parramaters","parameters","parameter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"disputatble","disputable","disputably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sain","chain","sin","saint","satin","stain","slain","swain","rain","sail","lain","said","gain","main","spin","pain"
"secene","scene","serene","secede","senescence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tempeture","temperature",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"deams","seams","drams","deans","dams","dreams","dames","deems","dears","reams","teams","deals","beams",NA,NA,NA
"boreal","arboreal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"septentrional","representational",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"disagreable","disagreeable","disagreeably","disable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"uninclusive","noninclusive","inclusive","conclusive","seclusive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"postits","posits","posties","post its","post-its","positivists","postie","posts","positivist",NA,NA,NA,NA,NA,NA,NA
"passsing","passing","pass sing","pass-sing","passivizing","gassing","assigning","assassin",NA,NA,NA,NA,NA,NA,NA,NA
"techers","etchers","teachers","tethers","lechers","checkers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"notalking","no talking","no-talking","stalking","notating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"notecard","note card","note-card","noticeboard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"punsihment","punishment","enmeshment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"existant","existent","exist ant","exist-ant","extant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"boringbored","boring bored","boring-bored","foreboding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ziltch","zilch","litchi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nevermind","never mind","never-mind","undermined","undermine","vermin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"reperable","reparable","referable","repeatable","operable","perdurable","replaceable",NA,NA,NA,NA,NA,NA,NA,NA,NA
"lituature","literature","ligature",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wout","wot","out","wont","wort","rout","tout","lout","gout","pout","bout","w out",NA,NA,NA,NA
"conflit","conflict","con flit","con-flit","conflation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"indepth","in depth","in-depth","depth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ryhms","rhythms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"govel","hovel","grovel","glove","gavel","novel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ficitonal","fictional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"freetime","free time","free-time","lifetime",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"somehthing","something","soothing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"beginngers","beginners","beginnings","beginner","beginning","gingers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"begginer","beginner","begging",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
